Date,Wakeup Time,,,Sleep Duration,,,Time Asleep,,,Sleep Score,,Rem,,Final Meal,,Travelling to Work,,Travelling Home,,Variables,
,Wakeup Time,Rolling Average (7d),Rolling Average (14d),Sleep Duration,Rolling Average (7d),Rolling Average (14d),Time Asleep,Rolling Average (7d),Time Asleep (previous night),overall_score,Rolling Average (7d),Amount ,Rolling Average (7d),Time,Rolling Average (7d),Set off Time,Arrival,Set off Time,Arrival,Supplements,
,,,,,,,,,,,,,,,,,,,,,
6/11/2024,8:14:00 AM,8:54:00 AM,8:52:47 AM,8:24:00,8:10:50,7:55:48,0.9368,11:18:30 PM,10:29:00 PM,81,78.4,1:05:00,0:39:20,6:30:00 PM,8:12 PM,8:28:00 AM,9:20:00 AM,,,,
6/10/2024,8:48:00 AM,8:55:00 AM,8:55:46 AM,7:27:00,7:58:50,7:51:44,1.0056,11:29:30 PM,12:08:00 AM,76,77.8,0:31:00,0:25:00,7:45:00 PM,8:07 PM,,,,,,
6/9/2024,9:26:00 AM,8:49:40 AM,8:56:18 AM,8:16:00,7:55:50,7:48:31,0.9847,11:14:40 PM,11:38:00 PM,80,77.3,,0:24:20,10:22:00 PM,8:22 PM,,,,,,
6/8/2024,,9:06:10 AM,8:53:50 AM,,8:00:30,7:48:29,,11:26:00 PM,,,74.3,,0:28:30,,7:18 PM,,,,,,
6/7/2024,9:09:00 AM,9:09:34 AM,8:49:42 AM,9:39:00,8:06:43,7:46:37,0.9368,11:25:51 PM,10:29:00 PM,76,75.4,,0:34:00,,7:18 PM,,,,,,
6/6/2024,10:02:00 AM,9:04:00 AM,8:47:18 AM,9:00:00,7:45:43,7:42:16,0.9806,11:35:17 PM,11:32:00 PM,79,76.4,0:22:00,0:41:30,,7:18 PM,,,,,,
6/5/2024,7:45:00 AM,8:48:00 AM,8:37:18 AM,6:19:00,7:32:09,7:41:46,0.9826,11:37:00 PM,11:35:00 PM,,75.4,,0:50:00,,7:18 PM,,,,,,
6/4/2024,8:20:00 AM,8:51:17 AM,8:40:46 AM,7:12:00,7:42:26,7:44:02,0.9826,11:35:09 PM,11:35:00 PM,74,75.5,0:22:00,0:49:26,6:15:00 PM,7:27 PM,,,,,,
6/3/2024,8:16:00 AM,8:56:26 AM,8:37:51 AM,7:09:00,7:36:17,7:46:03,0.9438,11:49:51 PM,10:39:00 PM,68,76.5,0:29:00,0:49:17,8:30:00 PM,7:48 PM,9:17:00 AM,9:58:00 AM,,,,
6/2/2024,11:05:00 AM,9:03:10 AM,8:38:55 AM,8:44:00,7:55:34,8:01:26,1.0319,11:59:51 PM,12:46:00 AM,80,76.7,0:41:00,0:52:40,7:10:00 PM,7:18 PM,,,,,,
6/1/2024,9:30:00 AM,8:41:30 AM,8:27:00 AM,8:44:00,7:47:30,8:02:25,0.9757,11:52:10 PM,11:25:00 PM,81,76.0,0:56:00,0:55:00,,7:04 PM,,,,,,
5/31/2024,8:30:00 AM,8:31:48 AM,8:22:05 AM,7:12:00,7:36:12,8:05:23,0.9826,11:54:20 PM,11:35:00 PM,74,74.8,1:19:00,0:54:45,7:20:00 PM,7:23 PM,,,,,,
5/30/2024,8:10:00 AM,8:25:48 AM,8:23:28 AM,7:25:00,7:42:15,8:12:41,0.9889,12:28:40 AM,11:44:00 PM,76,75.0,1:13:00,0:46:40,,7:24 PM,,,,,,
5/29/2024,8:08:00 AM,8:31:24 AM,8:22:55 AM,7:31:00,7:48:00,8:22:50,0.9736,12:41:30 AM,11:22:00 PM,80,74.5,0:46:00,0:33:30,8:00:00 PM,7:24 PM,8:30:00 AM,9:28:00 AM,,,,
5/28/2024,8:56:00 AM,8:28:12 AM,8:16:51 AM,6:29:00,7:56:30,8:40:15,1.0542,12:46:20 AM,1:18:00 AM,69,69.0,0:21:00,0:21:00,8:00:00 PM,7:15 PM,,,,,,
5/27/2024,,8:23:00 AM,8:13:28 AM,9:24:00,9:24:00,9:24:00,0.9924,12:30:30 AM,11:49:00 PM,,,,,6:00:00 PM,6:38 PM,,,,,,
5/26/2024,8:55:00 AM,8:16:10 AM,8:13:34 AM,,,,,12:31:10 AM,,,,,,6:00:00 PM,6:51 PM,,,,,,
5/25/2024,,8:12:00 AM,8:13:34 AM,,,,0.9847,12:19:34 AM,11:38:00 PM,,,,,9:00:00 PM,6:31 PM,,,,,,
5/24/2024,8:00:00 AM,8:14:34 AM,8:14:40 AM,,,,1.1257,12:23:00 AM,3:01:00 AM,,,,,,6:08 PM,,,,,,
5/23/2024,8:38:00 AM,8:18:17 AM,8:17:36 AM,,,,1.0424,11:57:34 PM,1:01:00 AM,,,,,,6:13 PM,,,,,,
5/22/2024,7:52:00 AM,8:19:43 AM,8:14:52 AM,,,,0.9938,11:36:26 PM,11:51:00 PM,,,,,,6:50 PM,,,,,,
5/21/2024,8:30:00 AM,8:21:17 AM,8:12:56 AM,,,,0.9882,11:34:00 PM,11:43:00 PM,,,,,5:35:00 PM,6:50 PM,,,,,,
5/20/2024,7:42:00 AM,8:06:51 AM,8:11:04 AM,,,,0.9951,11:36:40 PM,11:53:00 PM,,72.7,,,,7:08 PM,,,,,,
5/19/2024,8:30:00 AM,8:11:09 AM,8:06:32 AM,,,,0.9653,11:39:50 PM,11:10:00 PM,,72.7,,,5:00:00 PM,7:08 PM,,,,,,
5/18/2024,8:30:00 AM,8:09:00 AM,8:10:48 AM,8:27:00,7:27:48,7:13:33,1.0014,11:35:30 PM,12:02:00 AM,,74.0,,,7:50:00 PM,7:51 PM,,,,,,
5/17/2024,8:26:00 AM,8:12:34 AM,8:08:36 AM,,7:10:24,7:10:08,1.0021,11:42:10 PM,12:03:00 AM,76,74.0,,,6:30:00 PM,7:52 PM,,,,,,
5/16/2024,8:48:00 AM,8:13:09 AM,8:08:12 AM,8:55:00,7:09:50,7:10:02,0.9396,11:44:30 PM,10:33:00 PM,77,73.3,,,9:15:00 PM,9:15 PM,,,,,,
5/15/2024,8:03:00 AM,8:12:34 AM,8:05:32 AM,6:10:00,6:58:10,7:10:35,,11:57:40 PM,,65,73.3,,,,1:30 PM,,,,,,
5/14/2024,6:49:00 AM,8:11:43 AM,8:04:52 AM,6:50:00,7:05:50,7:12:20,0.9993,12:00:26 AM,11:59:00 PM,,76.5,,0:46:24,,1:30 PM,7:15:00 AM,8:04:00 AM,,,,
5/13/2024,8:12:00 AM,8:16:34 AM,8:11:36 AM,6:57:00,7:14:40,7:13:23,1.0083,11:46:51 PM,12:12:00 AM,78,78.2,0:38:00,0:47:10,,3:40 PM,,,,,,
5/12/2024,8:15:00 AM,8:15:09 AM,8:11:56 AM,,7:28:10,7:11:49,0.9472,11:23:51 PM,10:44:00 PM,,78.0,,0:48:10,,4:36 PM,,,,,,
5/11/2024,8:55:00 AM,8:00:43 AM,8:14:52 AM,7:00:00,7:03:51,7:07:39,1.0292,11:44:34 PM,12:42:00 AM,73,76.0,0:56:00,0:48:10,,5:20 PM,,,,,,
5/10/2024,8:30:00 AM,8:06:17 AM,8:11:08 AM,7:07:00,7:09:43,7:08:17,1.0118,11:44:51 PM,12:17:00 AM,77,74.2,0:38:00,0:45:30,,5:32 PM,,,,,,
5/9/2024,8:44:00 AM,8:01:34 AM,8:10:20 AM,7:45:00,7:13:43,7:08:27,0.9944,11:34:51 PM,11:52:00 PM,78,74.0,0:42:00,0:49:20,1:30:00 PM,5:32 PM,,,,,,
5/8/2024,7:57:00 AM,7:58:09 AM,8:05:24 AM,6:56:00,7:10:26,7:07:20,1.0118,11:31:00 PM,12:17:00 AM,85,74.0,0:58:00,0:50:50,,6:30 PM,,,,,,
5/7/2024,7:23:00 AM,7:59:43 AM,8:06:36 AM,7:43:00,7:13:09,7:07:02,0.9333,11:30:17 PM,10:24:00 PM,77,72.5,0:51:00,0:49:24,5:50:00 PM,6:35 PM,,,,,,
5/6/2024,8:02:00 AM,8:04:00 AM,8:10:24 AM,8:18:00,7:03:43,7:06:13,0.8965,11:43:34 PM,9:31:00 PM,66,71.6,0:44:00,0:44:12,6:30:00 PM,6:44 PM,,,,,,
5/5/2024,6:34:00 AM,8:08:00 AM,8:12:36 AM,4:38:00,6:59:00,7:09:44,1.0479,11:51:17 PM,1:09:00 AM,62,73.0,,0:44:24,7:30:00 PM,6:54 PM,,,,,,
5/4/2024,9:34:00,8:22:43 AM,8:21:40 AM,7:41:00,7:08:17,7:13:27,1.0306,11:56:26 PM,12:44:00 AM,76,75.8,0:40:00,0:48:30,6:20:00 PM,6:52 PM,,,,,,
5/3/2024,7:57:00 AM,8:17:43 AM,8:14:00 AM,7:35:00,7:10:51,7:19:28,0.9632,11:50:00 PM,11:07:00 PM,78,75.0,1:01:00,0:50:20,,6:24 PM,,,,,,
5/2/2024,8:20:00,8:18:00 AM,8:15:13 AM,7:22:00,7:05:51,7:24:44,0.9757,11:54:43 PM,11:25:00 PM,76,74.0,0:51:00,0:48:12,6:20:00 PM,6:28 PM,,,,,,
5/1/2024,8:08:00,8:17:43 AM,8:13:56 AM,7:15:00,7:08:26,7:25:25,1.0083,11:52:17 PM,12:12:00 AM,,73.0,,0:40:36,7:00:00 PM,6:40 PM,8:52:00 AM,9:20:00 AM,,,,
4/30/2024,7:53:00,8:12:17 AM,8:14:23 AM,6:37:00,7:07:20,7:13:27,0.9979,11:49:00 PM,11:57:00 PM,73,72.0,0:25:00,0:40:36,,6:33 PM,8:07:00 AM,8:54:00 AM,,,,
4/29/2024,8:30:00,8:15:26 AM,8:23:37 AM,7:45:00,7:28:20,7:01:54,0.9340,11:47:00 PM,10:25:00 PM,,71.5,0:45:00,0:41:48,7:20:00 PM,6:35 PM,,,,,,
4/28/2024,8:17:00,8:14:00 AM,8:23:05 AM,5:43:00,7:25:00,6:49:11,1.0729,11:40:50 PM,1:45:00 AM,73,73.3,1:09:00,0:41:00,7:20:00 PM,6:23 PM,-,-,,,,
4/27/2024,8:59:00,8:16:34 AM,8:24:45 AM,7:59:00,7:50:30,6:44:00,0.9993,11:16:00 PM,11:59:00 PM,,73.5,0:51:00,0:31:40,4:00:00 PM,6:14 PM,-,-,,,,
4/26/2024,7:59:00,8:15:17 AM,8:22:20 AM,7:00:00,7:47:40,6:32:49,0.9861,11:05:15 PM,11:40:00 PM,,73.5,,0:22:00,6:50:00 PM,6:41 PM,8:08:00 AM,8:45:00 AM,,,,
4/25/2024,8:18:00,8:12:26 AM,8:19:55 AM,7:40:00,7:10:40,6:22:02,0.9639,11:31:00 PM,11:08:00 PM,70,73.5,0:13:00,0:22:00,7:30:00 PM,6:38 PM,,,,,,
4/24/2024,7:30:00,8:11:30 AM,8:18:45 AM,,5:44:40,6:17:59,,11:35:30 PM,,,68.0,,0:31:00,6:20:00 PM,6:21 PM,8:15:00 AM,8:57:00 AM,,,,
4/23/2024,8:15:00,8:16:50 AM,8:22:30 AM,8:43:00,5:46:30,6:31:57,0.9896,11:55:48 PM,11:45:00 PM,77,68.0,0:31:00,0:21:00,6:45:00 PM,6:22 PM,-,-,,,,
4/22/2024,8:20:00,8:17:12 AM,8:23:45 AM,-,5:59:15,6:46:35,0.9083,11:55:36 PM,9:48:00 PM,,65.0,,,6:00:00 PM,6:00 PM,-,-,,,,
4/21/2024,8:35:00,8:35:48 AM,8:24:35 AM,-,6:48:48,6:54:57,,12:27:30 AM,,,70.0,,,,7:25 PM,-,-,,,,
4/20/2024,8:50:00,8:36:00 AM,8:27:20 AM,-,6:32:10,6:47:13,,12:17:12 AM,,,71.5,,,,7:20 PM,-,-,,,,
4/19/2024,7:39:00,8:32:45 AM,8:22:50 AM,5:09:00,6:32:10,6:45:07,1.0576,12:17:12 AM,1:23:00 AM,59,71.5,,,,7:20 PM,-,-,,,,
4/18/2024,,8:45:30 AM,8:22:05 AM,3:22:00,6:42:20,6:48:11,0.9764,12:00:45 AM,11:26:00 PM,,74.8,,,,7:20 PM,-,-,,,,
4/17/2024,8:02:00,8:30:24 AM,8:19:14 AM,5:52:00,7:22:24,6:53:31,1.0535,12:12:20 AM,1:17:00 AM,71,73.4,0:11:00,0:36:24,,7:20 PM,-,-,,,,
4/16/2024,,8:30:48 AM,8:14:28 AM,9:34:00,7:29:00,6:53:04,0.9889,11:40:00 PM,11:44:00 PM,80,74.0,0:33:00,0:37:24,,7:20 PM,-,-,,,,
4/15/2024,9:53:00,8:28:10 AM,8:21:17 AM,10:07:00,6:57:45,6:50:47,,12:07:00 AM,,76,71.8,0:22:00,0:38:30,7:25:00 PM,7:03 PM,-,-,,,,
4/14/2024,,8:14:20 AM,8:25:30 AM,5:09:00,5:54:40,6:52:58,0.9833,12:07:00 AM,11:36:00 PM,,70.3,,0:44:00,7:15:00 PM,6:52 PM,-,-,,,,
4/13/2024,8:37:00,8:16:34 AM,8:29:48 AM,,6:17:30,7:04:09,,12:38:00 AM,,72,70.3,1:14:00,0:44:00,,6:15 PM,-,-,,,,
4/12/2024,8:30:00,8:21:00 AM,8:28:04 AM,6:10:00,6:53:40,7:12:05,,12:38:00 AM,,68,69.5,0:42:00,0:48:00,,6:10 PM,-,-,,,,
4/11/2024,7:30:00,8:16:09 AM,8:29:24 AM,,7:19:40,7:12:19,,12:19:00 AM,,,78.5,,0:47:40,,5:07 PM,-,-,,,,
4/10/2024,8:04:00,8:16:09 AM,8:30:28 AM,6:25:00,7:19:15,7:08:45,,11:52:40 PM,,71,76.7,0:16:00,0:59:15,,5:07 PM,8:23:00 AM,9:07:00 AM,,,,
4/9/2024,8:15:00,8:13:26 AM,8:29:16 AM,,7:13:00,7:07:51,1.0264,11:45:00 PM,12:38:00 AM,,81.3,,1:01:15,6:30:00 PM,5:40 PM,8:27:00 AM,9:30:00 AM,,,,
4/8/2024,8:30:00 AM,8:02:43 AM,8:30:04 AM,,7:13:00,7:11:29,,11:46:45 PM,,,78.8,,1:01:15,,5:50 PM,,,,,,
4/7/2024,8:30:00 AM,8:14:09 AM,8:38:04 AM,,7:13:00,7:15:37,,11:46:45 PM,,,78.8,,1:01:15,6:00:00 PM,5:56 PM,,,,,,
4/6/2024,9:08:00 AM,8:34:26 AM,8:40:08 AM,8:06:00,7:13:00,7:20:03,,11:46:45 PM,,86,78.8,1:26:00,1:01:15,6:00:00 PM,6:20 PM,,,,,,
4/5/2024,7:56:00 AM,8:37:34 AM,8:33:16 AM,7:28:00,6:55:20,7:24:29,1.0000,11:46:45 PM,12:00:00 AM,73,76.3,0:41:00,0:53:00,2:00:00 PM,6:30 PM,,,,,,
4/4/2024,7:30:00 AM,8:39:43 AM,8:35:32 AM,7:18:00,6:54:40,7:30:56,0.9583,11:47:15 PM,11:00:00 PM,85,78.0,1:34:00,1:04:40,5:05:00 PM,7:32 PM,8:10:00 AM,8:38:00 AM,,,,
4/3/2024,7:45:00 AM,8:51:09 AM,8:35:04 AM,6:00:00,7:13:00,7:37:53,0.9736,11:55:15 PM,11:22:00 PM,71,75.0,0:24:00,0:54:00,8:30:00 PM,7:57 PM,-,-,,,,
4/2/2024,7:00:00 AM,8:51:17 AM,8:39:48 AM,,7:38:20,7:41:52,1.0313,11:54:00 PM,12:45:00 AM,,80.5,,0:56:40,7:30:00 PM,7:57 PM,7:30:00 AM,9:10:00 AM,17:55:00,,,
4/1/2024,9:50:00 AM,8:57:51 AM,8:44:32 AM,,7:42:00,7:40:44,,11:26:15 PM,,,78.7,,0:45:45,6:30:00 PM,7:57 PM,-,-,,,,
3/31/2024,10:52:00 AM,8:46:00 AM,8:47:36 AM,,7:44:00,7:38:27,,11:30:48 PM,,,79.0,,0:45:45,8:45:00 PM,8:05 PM,-,-,,,,
3/30/2024,9:30:00 AM,8:42:51 AM,8:47:40 AM,,7:44:00,7:33:27,,11:33:50 PM,,,78.0,,0:45:45,7:15:00 PM,7:49 PM,-,-,,,,
3/29/2024,8:11:00 AM,8:38:43 AM,8:44:20 AM,7:26:00,7:40:30,7:28:27,1.0014,11:43:17 PM,12:02:00 AM,79,78.0,1:16:00,0:46:36,9:15:00 PM,7:56 PM,-,-,,,,
3/28/2024,8:50:00 AM,8:32:09 AM,8:42:16 AM,8:13:00,7:43:24,7:29:15,0.9806,11:44:09 PM,11:32:00 PM,82,78.0,1:02:00,0:39:15,,7:17 PM,-,-,,,,
3/27/2024,7:46:00 AM,8:29:17 AM,8:38:52 AM,7:16:00,7:40:48,7:29:39,0.9701,11:36:51 PM,11:17:00 PM,75,77.0,0:32:00,0:31:40,8:30:00 PM,7:17 PM,8:14:00 AM,8:49:00 AM,17:34:00,,,
3/26/2024,7:46:00 AM,8:26:00 AM,8:41:36 AM,7:53:00,7:30:24,7:27:38,0.9542,11:44:09 PM,10:54:00 PM,80,77.7,0:13:00,0:41:00,7:30:00 PM,7:05 PM,8:18:00 AM,8:54:00 AM,18:30:00,,,
3/25/2024,8:27:00 AM,8:36:00 AM,8:50:12 AM,7:52:00,7:26:00,7:27:07,0.9924,11:52:30 PM,11:49:00 PM,74,76.5,,1:07:20,7:15:00 PM,7:08 PM,10:35:00 AM,11:10:00 AM,17:47:00,,,
3/24/2024,10:30:00 AM,8:33:43 AM,9:02:24 AM,,7:09:00,7:27:05,0.9924,12:01:00 AM,11:49:00 PM,,76.0,,1:01:00,7:10:00 PM,7:08 PM,,,,,,
3/23/2024,9:01:00 AM,8:34:34 AM,9:02:36 AM,7:23:00,7:09:00,7:29:30,1.0278,12:03:24 AM,12:40:00 AM,79,74.7,0:50:00,1:01:00,,6:54 PM,,,,,,
3/22/2024,7:25:00 AM,8:50:34 AM,8:54:48 AM,,7:46:12,7:31:01,1.0056,11:53:00 PM,12:08:00 AM,,72.5,,1:04:40,6:00:00 PM,6:54 PM,7:58:00 AM,8:33:00 AM,,,,
